""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"15785"	"PTPRZ1"	0	0	0	0	0	0
"15786"	"AASS"	11	22	26	10	21	12
"15787"	"LOC102724527"	0	0	0	0	0	0
"15788"	"FEZF1"	0	0	0	0	0	0
"15789"	"FEZF1-AS1"	0	0	0	0	0	0
"15790"	"CADPS2"	38	61	40	26	43	21
"15791"	"LOC105375481"	0	0	0	0	0	0
"15792"	"RNF133"	0	0	0	0	0	0
"15793"	"RNF148"	0	0	0	0	1	0
"15794"	"LOC105375482"	0	0	0	0	0	0
"15795"	"TAS2R16"	0	0	0	0	0	0
"15796"	"SLC13A1"	0	0	0	0	0	0
"15797"	"IQUB"	5	2	4	2	4	8
"15798"	"NDUFA5"	2279	2310	2221	2106	2045	2189
"15799"	"ASB15"	0	0	0	0	0	0
"15800"	"ASB15-AS1"	0	0	0	0	0	0
"15801"	"LMOD2"	0	0	0	0	0	0
"15802"	"WASL"	4018	3739	3820	3018	3339	3370
"15803"	"HYAL4"	13	30	17	28	19	28
"15804"	"HYAL6P"	1	0	0	0	0	0
"15805"	"SPAM1"	0	0	0	0	0	0
"15806"	"LOC105375483"	0	0	0	0	0	0
"15807"	"TMEM229A"	4	0	0	0	0	0
"15808"	"LOC105375484"	0	0	4	0	0	0
"15809"	"LOC107986841"	0	0	0	0	0	0
"15810"	"LOC101928211"	0	1	0	0	2	0
"15811"	"LOC102724577"	0	0	0	0	0	0
"15812"	"LOC107986842"	2	6	0	0	0	0
"15813"	"GPR37"	479	390	387	174	147	164
"15814"	"LINC03043"	0	0	0	0	0	0
"15815"	"POT1"	1611	1580	1498	1191	1266	1392
"15816"	"POT1-AS1"	19	10	23	11	10	9
"15817"	"LINC02830"	0	0	0	0	0	0
"15818"	"LOC101928283"	0	0	0	0	0	0
"15819"	"LOC101928254"	0	0	0	0	0	0
"15820"	"LOC100506664"	0	0	0	0	0	0
"15821"	"LOC105375487"	0	0	0	0	0	0
"15822"	"LOC105375488"	0	0	0	0	0	0
"15823"	"GRM8"	8	1	1	2	5	0
"15824"	"LOC101928357"	0	0	0	0	0	0
"15825"	"LOC107986843"	0	0	0	0	0	0
"15826"	"MIR592"	0	0	0	0	0	0
"15827"	"GRM8-AS1"	0	0	0	0	0	0
"15828"	"ZNF800"	1218	1199	1155	1188	1313	1308
"15829"	"LINC03012"	0	0	0	0	0	0
"15830"	"LOC105375490"	0	0	0	0	0	0
"15831"	"GCC1"	1286	1308	1142	1372	1500	1401
"15832"	"ARF5"	2505	2650	2691	3279	3010	2854
"15833"	"LOC105375489"	225	249	254	302	295	303
"15834"	"FSCN3"	2	0	0	0	2	0
"15835"	"PAX4"	0	0	0	0	0	0
"15836"	"SND1"	8214	8152	8303	7528	7639	7702
